                                                            ZZGSES       1249125159937519332002402625                                                      20251128               
                                                            GSE  S       0832750106625012888001601750                                                      20260101
9999900000NON-METRO                                         GSE  S01250000832750106625012888001601750NC009NORTH CAROLINA            ASHE                   2026010101970002008
9999900000NON-METRO                                         GSE  S02400000832750106625012888001601750NC011NORTH CAROLINA            AVERY                  2026010102400002025
4782000000WASHINGTON, NC                                    GSE  S02350000832750106625012888001601750NC013NORTH CAROLINA            BEAUFORT               2026010102350002025
9999900000NON-METRO                                         GSE  S00500000832750106625012888001601750NC015NORTH CAROLINA            BERTIE                 2026010100750002008
9999900000NON-METRO                                         GSE  S01250000832750106625012888001601750NC017NORTH CAROLINA            BLADEN                 2026010101250002025
4890000000WILMINGTON, NC                                    GSE  S04300000832750106625012888001601750NC019NORTH CAROLINA            BRUNSWICK              2026010104300002025
1170000000ASHEVILLE, NC                                     GSE  S04350000832750106625012888001601750NC021NORTH CAROLINA            BUNCOMBE               2026010104350002025
2586000000HICKORY-LENOIR-MORGANTON, NC                      GSE  S02390000832750106625012888001601750NC023NORTH CAROLINA            BURKE                  2026010102480002024
1674000000CHARLOTTE-CONCORD-GASTONIA, NC-SC                 GSE  S04400000832750106625012888001601750NC025NORTH CAROLINA            CABARRUS               2026010104400002025
2586000000HICKORY-LENOIR-MORGANTON, NC                      GSE  S02390000832750106625012888001601750NC027NORTH CAROLINA            CALDWELL               2026010102480002024
4726000000VIRGINIA BEACH-CHESAPEAKE-NORFOLK, VA-NC          GSE  S06300000832750106625012888001601750NC029NORTH CAROLINA            CAMDEN                 2026010107000002010
3398000000MOREHEAD CITY, NC                                 GSE  S03990000832750106625012888001601750NC031NORTH CAROLINA            CARTERET               2026010103990002025
9999900000NON-METRO                                         GSE  S01650000832750106625012888001601750NC033NORTH CAROLINA            CASWELL                2026010101650002025
2586000000HICKORY-LENOIR-MORGANTON, NC                      GSE  S02390000832750106625012888001601750NC035NORTH CAROLINA            CATAWBA                2026010102480002024
2050000000DURHAM-CHAPEL HILL, NC                            GSE  S05520000832750106625012888001601750NC037NORTH CAROLINA            CHATHAM                2026010105520002025
9999900000NON-METRO                                         GSE  S02040000832750106625012888001601750NC039NORTH CAROLINA            CHEROKEE               2026010102040002025
9999900000NON-METRO                                         GSE  S02880000832750106625012888001601750NC041NORTH CAROLINA            CHOWAN                 2026010102880002025
9999900000NON-METRO                                         GSE  S02400000832750106625012888001601750NC043NORTH CAROLINA            CLAY                   2026010102400002025
4314000000SHELBY-KINGS MOUNTAIN, NC                         GSE  S02000000832750106625012888001601750NC045NORTH CAROLINA            CLEVELAND              2026010102000002025
9999900000NON-METRO                                         GSE  S01400000832750106625012888001601750NC047NORTH CAROLINA            COLUMBUS               2026010101400002025
3510000000NEW BERN, NC                                      GSE  S02850000832750106625012888001601750NC049NORTH CAROLINA            CRAVEN                 2026010102850002025
2218000000FAYETTEVILLE, NC                                  GSE  S02700000832750106625012888001601750NC051NORTH CAROLINA            CUMBERLAND             2026010103150002024
4726000000VIRGINIA BEACH-CHESAPEAKE-NORFOLK, VA-NC          GSE  S06300000832750106625012888001601750NC053NORTH CAROLINA            CURRITUCK              2026010106590002024
2862000000KILL DEVIL HILLS, NC                              GSE  S06250000832750106625012888001601750NC055NORTH CAROLINA            DARE                   2026010106250002025
4918000000WINSTON-SALEM, NC                                 GSE  S02800000832750106625012888001601750NC057NORTH CAROLINA            DAVIDSON               2026010102800002025
4918000000WINSTON-SALEM, NC                                 GSE  S02800000832750106625012888001601750NC059NORTH CAROLINA            DAVIE                  2026010102800002025
9999900000NON-METRO                                         GSE  S01590000832750106625012888001601750NC061NORTH CAROLINA            DUPLIN                 2026010101590002025
2050000000DURHAM-CHAPEL HILL, NC                            GSE  S05520000832750106625012888001601750NC063NORTH CAROLINA            DURHAM                 2026010105520002025
4058000000ROCKY MOUNT, NC                                   GSE  S02200000832750106625012888001601750NC065NORTH CAROLINA            EDGECOMBE              2026010102200002024
4918000000WINSTON-SALEM, NC                                 GSE  S02800000832750106625012888001601750NC067NORTH CAROLINA            FORSYTH                2026010102800002025
3958000000RALEIGH-CARY, NC                                  GSE  S04680000832750106625012888001601750NC069NORTH CAROLINA            FRANKLIN               2026010104680002025
1674000000CHARLOTTE-CONCORD-GASTONIA, NC-SC                 GSE  S04400000832750106625012888001601750NC071NORTH CAROLINA            GASTON                 2026010104400002025
4726000000VIRGINIA BEACH-CHESAPEAKE-NORFOLK, VA-NC          GSE  S06300000832750106625012888001601750NC073NORTH CAROLINA            GATES                  2026010106590002024
9999900000NON-METRO                                         GSE  S01980000832750106625012888001601750NC075NORTH CAROLINA            GRAHAM                 2026010101980002025
9999900000NON-METRO                                         GSE  S02950000832750106625012888001601750NC077NORTH CAROLINA            GRANVILLE              2026010105500002024
9999900000NON-METRO                                         GSE  S01400000832750106625012888001601750NC079NORTH CAROLINA            GREENE                 2026010101400002025
2466000000GREENSBORO-HIGH POINT, NC                         GSE  S02800000832750106625012888001601750NC081NORTH CAROLINA            GUILFORD               2026010102800002025
4026000000ROANOKE RAPIDS, NC                                GSE  S01000000832750106625012888001601750NC083NORTH CAROLINA            HALIFAX                2026010101320002009
1136000000ANDERSON CREEK, NC                                GSE  S03200000832750106625012888001601750NC085NORTH CAROLINA            HARNETT                2026010103200002025
4820000000WAYNESVILLE, NC                                   GSE  S03110000832750106625012888001601750NC087NORTH CAROLINA            HAYWOOD                2026010104300002024
1170000000ASHEVILLE, NC                                     GSE  S04350000832750106625012888001601750NC089NORTH CAROLINA            HENDERSON              2026010104350002025
9999900000NON-METRO                                         GSE  S00850000832750106625012888001601750NC091NORTH CAROLINA            HERTFORD               2026010101200002008
2218000000FAYETTEVILLE, NC                                  GSE  S02700000832750106625012888001601750NC093NORTH CAROLINA            HOKE                   2026010103150002024
9999900000NON-METRO                                         GSE  S02150000832750106625012888001601750NC095NORTH CAROLINA            HYDE                   2026010104200002008
1674000000CHARLOTTE-CONCORD-GASTONIA, NC-SC                 GSE  S04400000832750106625012888001601750NC097NORTH CAROLINA            IREDELL                2026010104400002025
9999900000NON-METRO                                         GSE  S03490000832750106625012888001601750NC099NORTH CAROLINA            JACKSON                2026010103490002025
3958000000RALEIGH-CARY, NC                                  GSE  S04680000832750106625012888001601750NC101NORTH CAROLINA            JOHNSTON               2026010104680002025
3510000000NEW BERN, NC                                      GSE  S02850000832750106625012888001601750NC103NORTH CAROLINA            JONES                  2026010102850002025
4182000000SANFORD, NC                                       GSE  S03000000832750106625012888001601750NC105NORTH CAROLINA            LEE                    2026010103000002025
2882000000KINSTON, NC                                       GSE  S01530000832750106625012888001601750NC107NORTH CAROLINA            LENOIR                 2026010101530002025
1674000000CHARLOTTE-CONCORD-GASTONIA, NC-SC                 GSE  S04400000832750106625012888001601750NC109NORTH CAROLINA            LINCOLN                2026010104400002025
3200000000MARION, NC                                        GSE  S01500000832750106625012888001601750NC111NORTH CAROLINA            MCDOWELL               2026010101500002025
9999900000NON-METRO                                         GSE  S02850000832750106625012888001601750NC113NORTH CAROLINA            MACON                  2026010102850002025
1170000000ASHEVILLE, NC                                     GSE  S04350000832750106625012888001601750NC115NORTH CAROLINA            MADISON                2026010104350002025
9999900000NON-METRO                                         GSE  S00990000832750106625012888001601750NC117NORTH CAROLINA            MARTIN                 2026010100990002025
1674000000CHARLOTTE-CONCORD-GASTONIA, NC-SC                 GSE  S04400000832750106625012888001601750NC119NORTH CAROLINA            MECKLENBURG            2026010104400002025
9999900000NON-METRO                                         GSE  S01730000832750106625012888001601750NC121NORTH CAROLINA            MITCHELL               2026010101800002023
9999900000NON-METRO                                         GSE  S01100000832750106625012888001601750NC123NORTH CAROLINA            MONTGOMERY             2026010101110002009
3824000000PINEHURST-SOUTHERN PINES, NC                      GSE  S04000000832750106625012888001601750NC125NORTH CAROLINA            MOORE                  2026010104000002025
4058000000ROCKY MOUNT, NC                                   GSE  S02200000832750106625012888001601750NC127NORTH CAROLINA            NASH                   2026010102200002024
4890000000WILMINGTON, NC                                    GSE  S04300000832750106625012888001601750NC129NORTH CAROLINA            NEW HANOVER            2026010104300002025
4026000000ROANOKE RAPIDS, NC                                GSE  S01000000832750106625012888001601750NC131NORTH CAROLINA            NORTHAMPTON            2026010101320002009
2734000000JACKSONVILLE, NC                                  GSE  S02700000832750106625012888001601750NC133NORTH CAROLINA            ONSLOW                 2026010102700002025
2050000000DURHAM-CHAPEL HILL, NC                            GSE  S05520000832750106625012888001601750NC135NORTH CAROLINA            ORANGE                 2026010105520002025
3510000000NEW BERN, NC                                      GSE  S02850000832750106625012888001601750NC137NORTH CAROLINA            PAMLICO                2026010102850002025
2102000000ELIZABETH CITY, NC                                GSE  S02750000832750106625012888001601750NC139NORTH CAROLINA            PASQUOTANK             2026010107000002010
4890000000WILMINGTON, NC                                    GSE  S04300000832750106625012888001601750NC141NORTH CAROLINA            PENDER                 2026010104300002025
9999900000NON-METRO                                         GSE  S01750000832750106625012888001601750NC143NORTH CAROLINA            PERQUIMANS             2026010107000002010
2050000000DURHAM-CHAPEL HILL, NC                            GSE  S05520000832750106625012888001601750NC145NORTH CAROLINA            PERSON                 2026010105520002025
2478000000GREENVILLE, NC                                    GSE  S02630000832750106625012888001601750NC147NORTH CAROLINA            PITT                   2026010102630002025
9999900000NON-METRO                                         GSE  S03960000832750106625012888001601750NC149NORTH CAROLINA            POLK                   2026010103960002025
2466000000GREENSBORO-HIGH POINT, NC                         GSE  S02800000832750106625012888001601750NC151NORTH CAROLINA            RANDOLPH               2026010102800002025
4046000000ROCKINGHAM, NC                                    GSE  S01170000832750106625012888001601750NC153NORTH CAROLINA            RICHMOND               2026010101170002025
3130000000LUMBERTON, NC                                     GSE  S01250000832750106625012888001601750NC155NORTH CAROLINA            ROBESON                2026010101250002025
2466000000GREENSBORO-HIGH POINT, NC                         GSE  S02800000832750106625012888001601750NC157NORTH CAROLINA            ROCKINGHAM             2026010102800002025
1674000000CHARLOTTE-CONCORD-GASTONIA, NC-SC                 GSE  S04400000832750106625012888001601750NC159NORTH CAROLINA            ROWAN                  2026010104400002025
2258000000FOREST CITY, NC                                   GSE  S02250000832750106625012888001601750NC161NORTH CAROLINA            RUTHERFORD             2026010102250002025
9999900000NON-METRO                                         GSE  S01300000832750106625012888001601750NC163NORTH CAROLINA            SAMPSON                2026010101300002025
2990000000LAURINBURG, NC                                    GSE  S00860000832750106625012888001601750NC165NORTH CAROLINA            SCOTLAND               2026010101100002008
1062000000ALBEMARLE, NC                                     GSE  S02600000832750106625012888001601750NC167NORTH CAROLINA            STANLY                 2026010102700002024
4918000000WINSTON-SALEM, NC                                 GSE  S02800000832750106625012888001601750NC169NORTH CAROLINA            STOKES                 2026010102800002025
3434000000MOUNT AIRY, NC                                    GSE  S01690000832750106625012888001601750NC171NORTH CAROLINA            SURRY                  2026010101690002025
9999900000NON-METRO                                         GSE  S02000000832750106625012888001601750NC173NORTH CAROLINA            SWAIN                  2026010103350002024
1482000000BREVARD, NC                                       GSE  S04030000832750106625012888001601750NC175NORTH CAROLINA            TRANSYLVANIA           2026010104030002025
9999900000NON-METRO                                         GSE  S00900000832750106625012888001601750NC177NORTH CAROLINA            TYRRELL                2026010101730002008
1674000000CHARLOTTE-CONCORD-GASTONIA, NC-SC                 GSE  S04400000832750106625012888001601750NC179NORTH CAROLINA            UNION                  2026010104400002025
2578000000HENDERSON, NC                                     GSE  S01490000832750106625012888001601750NC181NORTH CAROLINA            VANCE                  2026010101490002025
3958000000RALEIGH-CARY, NC                                  GSE  S04680000832750106625012888001601750NC183NORTH CAROLINA            WAKE                   2026010104680002025
9999900000NON-METRO                                         GSE  S02090000832750106625012888001601750NC185NORTH CAROLINA            WARREN                 2026010102090002025
9999900000NON-METRO                                         GSE  S01180000832750106625012888001601750NC187NORTH CAROLINA            WASHINGTON             2026010101180002025
1438000000BOONE, NC                                         GSE  S04480000832750106625012888001601750NC189NORTH CAROLINA            WATAUGA                2026010104480002025
2414000000GOLDSBORO, NC                                     GSE  S01930000832750106625012888001601750NC191NORTH CAROLINA            WAYNE                  2026010101930002025
3590000000NORTH WILKESBORO, NC                              GSE  S01900000832750106625012888001601750NC193NORTH CAROLINA            WILKES                 2026010101900002025
4898000000WILSON, NC                                        GSE  S02040000832750106625012888001601750NC195NORTH CAROLINA            WILSON                 2026010102040002025
4918000000WINSTON-SALEM, NC                                 GSE  S02800000832750106625012888001601750NC197NORTH CAROLINA            YADKIN                 2026010102800002025
9999900000NON-METRO                                         GSE  S02490000832750106625012888001601750NC199NORTH CAROLINA            YANCEY                 2026010102490002025
9999900000NON-METRO                                         GSE  S01050000832750106625012888001601750ND001NORTH DAKOTA              ADAMS                  2026010102080002017
9999900000NON-METRO                                         GSE  S01650000832750106625012888001601750ND003NORTH DAKOTA              BARNES                 2026010101650002024
9999900000NON-METRO                                         GSE  S01080000832750106625012888001601750ND005NORTH DAKOTA              BENSON                 2026010101080002025
1986000000DICKINSON, ND                                     GSE  S04040000832750106625012888001601750ND007NORTH DAKOTA              BILLINGS               2026010104420002023
9999900000NON-METRO                                         GSE  S01900000832750106625012888001601750ND009NORTH DAKOTA              BOTTINEAU              2026010101900002025
9999900000NON-METRO                                         GSE  S01010000832750106625012888001601750ND011NORTH DAKOTA              BOWMAN                 2026010101960002017
9999900000NON-METRO                                         GSE  S00670000832750106625012888001601750ND013NORTH DAKOTA              BURKE                  2026010101120002017
1390000000BISMARCK, ND                                      GSE  S03370000832750106625012888001601750ND015NORTH DAKOTA              BURLEIGH               2026010103370002025
2202000000FARGO, ND-MN                                      GSE  S03300000832750106625012888001601750ND017NORTH DAKOTA              CASS                   2026010103300002025
9999900000NON-METRO                                         GSE  S01250000832750106625012888001601750ND019NORTH DAKOTA              CAVALIER               2026010101450002024
9999900000NON-METRO                                         GSE  S01150000832750106625012888001601750ND021NORTH DAKOTA              DICKEY                 2026010101300002024
9999900000NON-METRO                                         GSE  S01600000832750106625012888001601750ND023NORTH DAKOTA              DIVIDE                 2026010101720002012
1986000000DICKINSON, ND                                     GSE  S04040000832750106625012888001601750ND025NORTH DAKOTA              DUNN                   2026010104040002025
9999900000NON-METRO                                         GSE  S00650000832750106625012888001601750ND027NORTH DAKOTA              EDDY                   2026010100910002016
9999900000NON-METRO                                         GSE  S01210000832750106625012888001601750ND029NORTH DAKOTA              EMMONS                 2026010101430002013
9999900000NON-METRO                                         GSE  S01640000832750106625012888001601750ND031NORTH DAKOTA              FOSTER                 2026010101640002025
9999900000NON-METRO                                         GSE  S01100000832750106625012888001601750ND033NORTH DAKOTA              GOLDEN VALLEY          2026010101750002014
2422000000GRAND FORKS, ND-MN                                GSE  S02820000832750106625012888001601750ND035NORTH DAKOTA              GRAND FORKS            2026010102820002025
9999900000NON-METRO                                         GSE  S00650000832750106625012888001601750ND037NORTH DAKOTA              GRANT                  2026010100950002017
9999900000NON-METRO                                         GSE  S00820000832750106625012888001601750ND039NORTH DAKOTA              GRIGGS                 2026010100930002017
9999900000NON-METRO                                         GSE  S01230000832750106625012888001601750ND041NORTH DAKOTA              HETTINGER              2026010101600002013
9999900000NON-METRO                                         GSE  S02400000832750106625012888001601750ND043NORTH DAKOTA              KIDDER                 2026010102400002025
9999900000NON-METRO                                         GSE  S01100000832750106625012888001601750ND045NORTH DAKOTA              LAMOURE                2026010101100002025
9999900000NON-METRO                                         GSE  S00760000832750106625012888001601750ND047NORTH DAKOTA              LOGAN                  2026010100810002016
3350000000MINOT, ND                                         GSE  S02630000832750106625012888001601750ND049NORTH DAKOTA              MCHENRY                2026010102630002025
9999900000NON-METRO                                         GSE  S03330000832750106625012888001601750ND051NORTH DAKOTA              MCINTOSH               2026010103330002025
9999900000NON-METRO                                         GSE  S03730000832750106625012888001601750ND053NORTH DAKOTA              MCKENZIE               2026010103730002025
9999900000NON-METRO                                         GSE  S01600000832750106625012888001601750ND055NORTH DAKOTA              MCLEAN                 2026010101810002016
9999900000NON-METRO                                         GSE  S01700000832750106625012888001601750ND057NORTH DAKOTA              MERCER                 2026010101970002017
1390000000BISMARCK, ND                                      GSE  S03370000832750106625012888001601750ND059NORTH DAKOTA              MORTON                 2026010103370002025
9999900000NON-METRO                                         GSE  S01800000832750106625012888001601750ND061NORTH DAKOTA              MOUNTRAIL              2026010101990002014
9999900000NON-METRO                                         GSE  S01000000832750106625012888001601750ND063NORTH DAKOTA              NELSON                 2026010101060002015
1390000000BISMARCK, ND                                      GSE  S03370000832750106625012888001601750ND065NORTH DAKOTA              OLIVER                 2026010103370002025
9999900000NON-METRO                                         GSE  S01270000832750106625012888001601750ND067NORTH DAKOTA              PEMBINA                2026010101270002025
9999900000NON-METRO                                         GSE  S01330000832750106625012888001601750ND069NORTH DAKOTA              PIERCE                 2026010101420002017
9999900000NON-METRO                                         GSE  S01930000832750106625012888001601750ND071NORTH DAKOTA              RAMSEY                 2026010101930002025
9999900000NON-METRO                                         GSE  S01440000832750106625012888001601750ND073NORTH DAKOTA              RANSOM                 2026010101500002024
3350000000MINOT, ND                                         GSE  S02630000832750106625012888001601750ND075NORTH DAKOTA              RENVILLE               2026010102630002025
4742000000WAHPETON, ND-MN                                   GSE  S01800000832750106625012888001601750ND077NORTH DAKOTA              RICHLAND               2026010101850002023
9999900000NON-METRO                                         GSE  S01270000832750106625012888001601750ND079NORTH DAKOTA              ROLETTE                2026010101400002013
9999900000NON-METRO                                         GSE  S01000000832750106625012888001601750ND081NORTH DAKOTA              SARGENT                2026010101260002021
9999900000NON-METRO                                         GSE  S00720000832750106625012888001601750ND083NORTH DAKOTA              SHERIDAN               2026010100860002018
9999900000NON-METRO                                         GSE  S01100000832750106625012888001601750ND085NORTH DAKOTA              SIOUX                  2026010102280002014
9999900000NON-METRO                                         GSE  S01650000832750106625012888001601750ND087NORTH DAKOTA              SLOPE                  2026010101670002017
1986000000DICKINSON, ND                                     GSE  S04040000832750106625012888001601750ND089NORTH DAKOTA              STARK                  2026010104420002023
9999900000NON-METRO                                         GSE  S01060000832750106625012888001601750ND091NORTH DAKOTA              STEELE                 2026010101800002014
2742000000JAMESTOWN, ND                                     GSE  S01800000832750106625012888001601750ND093NORTH DAKOTA              STUTSMAN               2026010101800002025
9999900000NON-METRO                                         GSE  S00550000832750106625012888001601750ND095NORTH DAKOTA              TOWNER                 2026010101020002013
9999900000NON-METRO                                         GSE  S01800000832750106625012888001601750ND097NORTH DAKOTA              TRAILL                 2026010101880002023
9999900000NON-METRO                                         GSE  S01220000832750106625012888001601750ND099NORTH DAKOTA              WALSH                  2026010101300002022
3350000000MINOT, ND                                         GSE  S02630000832750106625012888001601750ND101NORTH DAKOTA              WARD                   2026010102630002025
9999900000NON-METRO                                         GSE  S00960000832750106625012888001601750ND103NORTH DAKOTA              WELLS                  2026010101020002014
4878000000WILLISTON, ND                                     GSE  S03350000832750106625012888001601750ND105NORTH DAKOTA              WILLIAMS               2026010103350002025
2558000000HASTINGS, NE                                      GSE  S01800000832750106625012888001601750NE001NEBRASKA                  ADAMS                  2026010101800002025
9999900000NON-METRO                                         GSE  S01300000832750106625012888001601750NE003NEBRASKA                  ANTELOPE               2026010101300002025
9999900000NON-METRO                                         GSE  S02740000832750106625012888001601750NE005NEBRASKA                  ARTHUR                 2026010102740002025
4242000000SCOTTSBLUFF, NE                                   GSE  S02210000832750106625012888001601750NE007NEBRASKA                  BANNER                 2026010102440002023
9999900000NON-METRO                                         GSE  S01480000832750106625012888001601750NE009NEBRASKA                  BLAINE                 2026010101480002025
9999900000NON-METRO                                         GSE  S01500000832750106625012888001601750NE011NEBRASKA                  BOONE                  2026010101760002022
9999900000NON-METRO                                         GSE  S01300000832750106625012888001601750NE013NEBRASKA                  BOX BUTTE              2026010102230002024
9999900000NON-METRO                                         GSE  S00170000832750106625012888001601750NE015NEBRASKA                  BOYD                   2026010100450002024
9999900000NON-METRO                                         GSE  S00950000832750106625012888001601750NE017NEBRASKA                  BROWN                  2026010101000002024
2826000000KEARNEY, NE                                       GSE  S02530000832750106625012888001601750NE019NEBRASKA                  BUFFALO                2026010103320002023
9999900000NON-METRO                                         GSE  S01270000832750106625012888001601750NE021NEBRASKA                  BURT                   2026010101270002025
9999900000NON-METRO                                         GSE  S02000000832750106625012888001601750NE023NEBRASKA                  BUTLER                 2026010102000002025
3654000000OMAHA, NE-IA                                      GSE  S03450000832750106625012888001601750NE025NEBRASKA                  CASS                   2026010103450002025
9999900000NON-METRO                                         GSE  S01410000832750106625012888001601750NE027NEBRASKA                  CEDAR                  2026010101840002023
9999900000NON-METRO                                         GSE  S02370000832750106625012888001601750NE029NEBRASKA                  CHASE                  2026010102440002024
9999900000NON-METRO                                         GSE  S01280000832750106625012888001601750NE031NEBRASKA                  CHERRY                 2026010101690002023
9999900000NON-METRO                                         GSE  S01450000832750106625012888001601750NE033NEBRASKA                  CHEYENNE               2026010101450002025
2558000000HASTINGS, NE                                      GSE  S01800000832750106625012888001601750NE035NEBRASKA                  CLAY                   2026010101800002025
1810000000COLUMBUS, NE                                      GSE  S02500000832750106625012888001601750NE037NEBRASKA                  COLFAX                 2026010102500002025
9999900000NON-METRO                                         GSE  S01370000832750106625012888001601750NE039NEBRASKA                  CUMING                 2026010101400002023
9999900000NON-METRO                                         GSE  S01180000832750106625012888001601750NE041NEBRASKA                  CUSTER                 2026010101720002022
4358000000SIOUX CITY, IA-NE-SD                              GSE  S02850000832750106625012888001601750NE043NEBRASKA                  DAKOTA                 2026010103590002023
9999900000NON-METRO                                         GSE  S01340000832750106625012888001601750NE045NEBRASKA                  DAWES                  2026010101340002025
3042000000LEXINGTON, NE                                     GSE  S03070000832750106625012888001601750NE047NEBRASKA                  DAWSON                 2026010105250002022
9999900000NON-METRO                                         GSE  S01100000832750106625012888001601750NE049NEBRASKA                  DEUEL                  2026010101200002022
9999900000NON-METRO                                         GSE  S01880000832750106625012888001601750NE051NEBRASKA                  DIXON                  2026010103590002023
2334000000FREMONT, NE                                       GSE  S02020000832750106625012888001601750NE053NEBRASKA                  DODGE                  2026010102040002023
3654000000OMAHA, NE-IA                                      GSE  S03450000832750106625012888001601750NE055NEBRASKA                  DOUGLAS                2026010103450002025
9999900000NON-METRO                                         GSE  S01710000832750106625012888001601750NE057NEBRASKA                  DUNDY                  2026010101710002025
9999900000NON-METRO                                         GSE  S01250000832750106625012888001601750NE059NEBRASKA                  FILLMORE               2026010102670002024
9999900000NON-METRO                                         GSE  S01320000832750106625012888001601750NE061NEBRASKA                  FRANKLIN               2026010101320002024
9999900000NON-METRO                                         GSE  S01050000832750106625012888001601750NE063NEBRASKA                  FRONTIER               2026010101300002023
9999900000NON-METRO                                         GSE  S00750000832750106625012888001601750NE065NEBRASKA                  FURNAS                 2026010101180002024
1310000000BEATRICE, NE                                      GSE  S01490000832750106625012888001601750NE067NEBRASKA                  GAGE                   2026010101490002025
9999900000NON-METRO                                         GSE  S00620000832750106625012888001601750NE069NEBRASKA                  GARDEN                 2026010100690002023
9999900000NON-METRO                                         GSE  S02100000832750106625012888001601750NE071NEBRASKA                  GARFIELD               2026010102100002025
3042000000LEXINGTON, NE                                     GSE  S03070000832750106625012888001601750NE073NEBRASKA                  GOSPER                 2026010105250002022
9999900000NON-METRO                                         GSE  S01650000832750106625012888001601750NE075NEBRASKA                  GRANT                  2026010101650002025
9999900000NON-METRO                                         GSE  S00700000832750106625012888001601750NE077NEBRASKA                  GREELEY                2026010100990002022
2426000000GRAND ISLAND, NE                                  GSE  S02300000832750106625012888001601750NE079NEBRASKA                  HALL                   2026010102300002025
9999900000NON-METRO                                         GSE  S02390000832750106625012888001601750NE081NEBRASKA                  HAMILTON               2026010102390002025
9999900000NON-METRO                                         GSE  S01250000832750106625012888001601750NE083NEBRASKA                  HARLAN                 2026010101620002023
9999900000NON-METRO                                         GSE  S00680000832750106625012888001601750NE085NEBRASKA                  HAYES                  2026010101450002024
9999900000NON-METRO                                         GSE  S00630000832750106625012888001601750NE087NEBRASKA                  HITCHCOCK              2026010101180002024
9999900000NON-METRO                                         GSE  S02020000832750106625012888001601750NE089NEBRASKA                  HOLT                   2026010102020002025
9999900000NON-METRO                                         GSE  S01140000832750106625012888001601750NE091NEBRASKA                  HOOKER                 2026010101260002022
2426000000GRAND ISLAND, NE                                  GSE  S02300000832750106625012888001601750NE093NEBRASKA                  HOWARD                 2026010102300002025
9999900000NON-METRO                                         GSE  S01050000832750106625012888001601750NE095NEBRASKA                  JEFFERSON              2026010102390002023
9999900000NON-METRO                                         GSE  S01910000832750106625012888001601750NE097NEBRASKA                  JOHNSON                2026010101910002025
2826000000KEARNEY, NE                                       GSE  S02530000832750106625012888001601750NE099NEBRASKA                  KEARNEY                2026010103320002023
9999900000NON-METRO                                         GSE  S02000000832750106625012888001601750NE101NEBRASKA                  KEITH                  2026010102000002025
9999900000NON-METRO                                         GSE  S01450000832750106625012888001601750NE103NEBRASKA                  KEYA PAHA              2026010101450002025
9999900000NON-METRO                                         GSE  S01240000832750106625012888001601750NE105NEBRASKA                  KIMBALL                2026010102690002024
9999900000NON-METRO                                         GSE  S00950000832750106625012888001601750NE107NEBRASKA                  KNOX                   2026010100950002025
3070000000LINCOLN, NE                                       GSE  S02830000832750106625012888001601750NE109NEBRASKA                  LANCASTER              2026010102830002025
3582000000NORTH PLATTE, NE                                  GSE  S02130000832750106625012888001601750NE111NEBRASKA                  LINCOLN                2026010103770002016
3582000000NORTH PLATTE, NE                                  GSE  S02130000832750106625012888001601750NE113NEBRASKA                  LOGAN                  2026010103770002016
9999900000NON-METRO                                         GSE  S00910000832750106625012888001601750NE115NEBRASKA                  LOUP                   2026010102140002019
9999900000NON-METRO                                         GSE  S01800000832750106625012888001601750NE117NEBRASKA                  MCPHERSON              2026010103770002016
3574000000NORFOLK, NE                                       GSE  S02310000832750106625012888001601750NE119NEBRASKA                  MADISON                2026010102310002025
2426000000GRAND ISLAND, NE                                  GSE  S02300000832750106625012888001601750NE121NEBRASKA                  MERRICK                2026010102300002025
9999900000NON-METRO                                         GSE  S01080000832750106625012888001601750NE123NEBRASKA                  MORRILL                2026010101750002020
9999900000NON-METRO                                         GSE  S00900000832750106625012888001601750NE125NEBRASKA                  NANCE                  2026010101050002016
9999900000NON-METRO                                         GSE  S01060000832750106625012888001601750NE127NEBRASKA                  NEMAHA                 2026010101060002025
9999900000NON-METRO                                         GSE  S00550000832750106625012888001601750NE129NEBRASKA                  NUCKOLLS               2026010101220002024
9999900000NON-METRO                                         GSE  S02000000832750106625012888001601750NE131NEBRASKA                  OTOE                   2026010102000002025
9999900000NON-METRO                                         GSE  S00650000832750106625012888001601750NE133NEBRASKA                  PAWNEE                 2026010100650002025
9999900000NON-METRO                                         GSE  S01500000832750106625012888001601750NE135NEBRASKA                  PERKINS                2026010101580002022
9999900000NON-METRO                                         GSE  S01670000832750106625012888001601750NE137NEBRASKA                  PHELPS                 2026010101750002024
3574000000NORFOLK, NE                                       GSE  S02310000832750106625012888001601750NE139NEBRASKA                  PIERCE                 2026010102310002025
1810000000COLUMBUS, NE                                      GSE  S02500000832750106625012888001601750NE141NEBRASKA                  PLATTE                 2026010102500002025
9999900000NON-METRO                                         GSE  S02360000832750106625012888001601750NE143NEBRASKA                  POLK                   2026010102360002025
9999900000NON-METRO                                         GSE  S01440000832750106625012888001601750NE145NEBRASKA                  RED WILLOW             2026010101440002025
9999900000NON-METRO                                         GSE  S00620000832750106625012888001601750NE147NEBRASKA                  RICHARDSON             2026010101240002024
9999900000NON-METRO                                         GSE  S00850000832750106625012888001601750NE149NEBRASKA                  ROCK                   2026010101230002022
9999900000NON-METRO                                         GSE  S01700000832750106625012888001601750NE151NEBRASKA                  SALINE                 2026010101750002024
3654000000OMAHA, NE-IA                                      GSE  S03450000832750106625012888001601750NE153NEBRASKA                  SARPY                  2026010103450002025
